music_wav/bagpipe.wav,0.063492,8.149929,0.191660,0.031769
music_wav/ballad.wav,0.029699,7.320233,0.039395,0.012695
music_wav/bartok.wav,0.063129,6.948618,0.098263,0.035980
music_wav/beatles.wav,0.103613,3.870783,0.036048,0.072815
music_wav/beat.wav,0.072252,4.592517,0.098647,0.045105
music_wav/bigband.wav,0.057586,10.355644,0.127905,0.026398
music_wav/birdland.wav,0.137511,7.272126,0.117197,0.072113
music_wav/blues.wav,0.026650,4.841617,0.073287,0.013123
music_wav/bmarsalis.wav,0.098844,6.541085,0.066525,0.056030
music_wav/brahms.wav,0.131334,7.178267,0.061028,0.074066
music_wav/canonaki.wav,0.146966,5.117331,0.115193,0.071045
music_wav/caravan.wav,0.086943,5.260564,0.041274,0.051300
music_wav/chaka.wav,0.159300,6.191429,0.106614,0.086639
music_wav/classical1.wav,0.040904,6.627332,0.052605,0.018768
music_wav/classical2.wav,0.047278,6.266434,0.061932,0.027283
music_wav/classical.wav,0.046478,6.408447,0.047708,0.019531
music_wav/copland2.wav,0.054641,10.246481,0.055341,0.022034
music_wav/copland.wav,0.099586,7.899820,0.100835,0.052673
music_wav/corea1.wav,0.144469,6.298335,0.064647,0.092010
music_wav/corea.wav,0.068788,6.237708,0.035976,0.036499
music_wav/cure.wav,0.059771,7.442144,0.094671,0.033051
music_wav/debussy.wav,0.070723,8.839430,0.071288,0.031830
music_wav/deedee1.wav,0.065949,10.049444,0.070100,0.034149
music_wav/deedee.wav,0.095463,8.171051,0.067557,0.041718
music_wav/duke.wav,0.079876,7.053209,0.062296,0.040192
music_wav/echoes.wav,0.075595,9.623360,0.130567,0.037628
music_wav/eguitar.wav,0.037841,4.254171,0.112067,0.023865
music_wav/georose.wav,0.057835,7.866502,0.071847,0.034332
music_wav/gismonti.wav,0.023307,10.393709,0.056540,0.007538
music_wav/glass1.wav,0.106475,6.980544,0.053873,0.066071
music_wav/glass.wav,0.087488,6.252923,0.092395,0.049744
music_wav/gravity2.wav,0.196095,5.099569,0.132631,0.130585
music_wav/gravity.wav,0.097963,6.775919,0.115043,0.049957
music_wav/guitar.wav,0.041744,5.560472,0.030201,0.022949
music_wav/hendrix.wav,0.092861,4.835565,0.093869,0.059937
